ID,SEX,AGE,RACE,MARITAL,SIBS,CHILDS,HOMPOP,ADULTS,BABIES,EDUC,MAEDUC,PAEDUC,SPEDUC,RINCOME,INCOME,WRKSTAT,YEARSJOB,WRKGOVT,WRKSLF,SPWRKSTA,SATJOB1,HEALTH,HAPPY,VOTE12,VOTE16,PRES12,PRES16,OWNGUN,HELL,HEAVEN,ODDS1,ODDS2
1,1,43,1,5,4,0,5,5,0,14,12,12,97,13,13,3,1,2,2,0,2,2,2,1,1,2,2,2,1,1,2,1
2,2,74,1,4,4,3,2,2,0,10,8,0,97,0,12,5,-1,2,2,0,0,1,1,1,1,1,2,2,0,0,0,0
3,1,42,1,1,2,2,4,2,9,16,16,12,14,12,12,1,15,2,2,1,2,0,1,1,1,2,2,0,2,2,2,1
4,2,63,1,1,3,2,2,2,0,16,12,16,14,12,13,1,25,2,2,1,1,0,1,1,1,2,8,0,0,0,0,0
5,1,71,2,3,3,0,2,2,0,18,12,12,97,0,13,5,-1,2,2,0,0,1,2,1,1,2,2,1,0,0,0,0
6,2,67,1,2,1,2,2,2,0,16,12,12,97,0,98,5,-1,2,2,0,0,2,3,1,1,1,1,1,3,2,2,1
7,2,59,2,3,7,6,2,2,0,13,6,97,97,10,10,1,2,1,2,0,1,2,2,1,1,1,1,2,0,0,0,0
8,1,43,1,5,2,0,1,1,0,12,12,97,97,12,12,1,5,2,2,0,2,1,2,2,1,0,2,2,0,0,0,0
9,2,62,1,2,4,4,1,1,0,8,12,12,97,2,5,1,0.75,2,1,0,2,0,3,1,2,1,0,0,1,1,2,1
10,1,55,1,1,2,2,2,2,0,12,20,6,11,12,12,1,11,2,2,7,2,0,2,2,1,0,2,0,0,0,0,0
11,1,59,1,3,3,2,2,2,0,19,12,12,97,12,12,1,2,2,2,0,1,1,2,1,1,2,2,1,2,2,2,1
12,2,34,3,4,2,3,4,1,1,14,14,97,97,10,11,2,5,2,2,0,2,0,2,1,1,1,1,0,0,0,0,0
13,2,61,1,3,9,2,1,1,0,13,12,98,97,0,11,5,-1,1,2,0,0,4,3,2,2,0,0,2,2,2,2,1
14,1,44,2,1,6,2,3,2,0,16,12,16,14,12,12,1,15,2,2,7,2,1,1,2,2,0,0,2,0,0,0,0
15,2,41,2,5,4,2,3,3,0,12,16,15,97,0,2,7,-1,2,2,0,0,0,2,1,2,1,0,0,1,1,2,1
16,2,75,1,2,1,4,2,2,0,12,12,12,97,9,12,2,2,2,2,0,1,2,2,1,2,1,0,2,1,1,2,1
17,2,55,1,1,1,0,2,2,0,16,13,14,14,12,12,4,-1,2,2,1,0,0,3,1,1,1,1,0,0,0,0,0
18,2,30,1,1,3,2,4,2,2,16,16,16,16,0,98,7,-1,0,0,1,0,1,1,3,3,0,0,2,1,1,2,1
19,2,40,1,3,1,2,3,1,1,20,19,15,97,12,12,1,9,1,2,0,1,1,2,1,1,1,1,2,0,0,0,0
20,1,30,1,5,1,0,4,4,0,18,16,16,97,13,98,1,5,2,2,0,3,0,3,2,1,0,2,0,0,0,0,0
21,2,34,1,1,3,1,3,2,1,15,17,97,12,12,12,1,2,1,2,1,2,1,1,3,3,0,0,2,2,2,2,2
22,2,29,3,5,6,0,3,3,0,14,12,12,97,0,98,6,-1,0,0,0,0,2,2,2,1,0,2,2,0,0,0,0
23,2,40,1,1,4,1,3,2,1,14,16,16,12,12,12,1,4,2,1,7,1,0,2,1,1,1,1,0,1,1,2,1
24,1,37,1,5,0,0,2,2,0,12,18,18,97,12,12,1,5,2,1,0,1,1,1,1,1,1,1,1,4,4,2,1
25,2,56,1,1,11,3,2,2,0,16,16,16,16,10,12,2,10,2,2,1,2,2,1,1,1,2,2,2,1,1,2,1
26,1,82,1,2,1,2,1,1,0,8,8,8,97,0,12,5,-1,2,2,0,0,1,1,1,1,9,9,2,0,0,0,0
27,2,68,1,3,1,3,1,1,0,12,12,12,97,12,12,1,27,2,2,0,1,2,2,1,1,1,2,2,4,2,2,1
28,2,42,2,5,8,5,2,1,0,9,10,0,97,0,9,7,-1,0,0,0,0,1,3,2,1,0,1,2,0,0,0,0
29,2,40,1,3,2,3,4,2,1,12,12,12,97,0,12,7,-1,2,2,0,0,0,3,1,1,8,8,0,1,1,2,1
30,1,20,1,5,3,0,4,3,0,14,17,16,97,9,12,2,3,2,2,0,2,1,2,3,2,0,0,2,0,0,0,0
31,2,74,1,1,1,2,2,2,0,12,12,98,12,0,13,5,-1,2,2,5,0,0,2,1,1,2,2,0,0,0,0,0
32,1,89,1,1,6,7,2,2,0,8,12,19,12,0,12,5,-1,2,2,5,0,3,3,1,1,1,8,2,0,0,0,0
33,2,60,1,1,1,2,2,2,0,16,12,12,16,0,13,7,-1,2,2,2,0,0,2,1,1,2,1,0,1,1,2,1
34,2,56,1,3,4,0,1,1,0,16,16,97,97,12,12,1,0.25,2,2,0,3,3,2,1,1,1,1,2,4,4,2,1
35,2,55,1,3,8,3,1,1,0,10,8,9,97,13,13,2,8,8,1,0,1,0,1,1,1,1,1,0,1,1,1,2
36,1,65,1,1,4,5,2,2,0,18,12,12,20,12,12,1,8,2,2,2,1,1,1,1,1,2,2,2,0,0,0,0
37,2,71,1,2,1,1,1,1,0,20,12,14,97,13,12,2,15,2,2,0,2,3,2,1,1,1,1,2,3,3,2,1
38,1,34,1,5,3,0,1,1,0,20,18,16,97,12,12,1,0.75,1,2,0,2,2,3,1,1,1,1,2,0,0,0,0
39,1,45,1,1,5,1,1,1,0,19,8,12,12,12,12,1,0.25,2,2,1,2,0,2,2,2,0,0,0,2,1,2,1
40,2,50,2,9,99,9,1,1,0,12,99,99,99,13,13,9,99,9,9,9,9,2,2,9,9,9,9,3,8,8,2,1
41,2,65,1,3,8,2,1,1,0,12,12,12,97,9,9,2,6,2,2,0,2,0,2,1,1,1,1,0,0,0,0,0
42,1,52,1,5,1,0,2,2,0,12,10,97,97,12,12,1,14,2,2,0,2,2,2,2,2,0,0,2,1,1,2,2
43,2,62,1,2,4,1,1,1,0,12,12,12,97,0,12,5,-1,2,2,0,0,0,1,1,1,1,1,0,0,0,0,0
44,1,60,3,1,1,0,2,2,0,18,16,20,16,13,13,3,99,2,2,1,9,1,2,1,1,1,1,2,0,0,0,0
45,2,62,1,3,3,2,2,2,0,16,8,97,97,12,12,7,-1,2,2,0,0,1,2,1,1,1,1,2,0,0,0,0
46,2,46,1,2,5,3,1,1,0,12,6,11,97,12,12,2,5,2,2,0,2,0,3,2,1,0,1,0,0,0,0,0
47,1,40,1,1,3,2,4,2,1,18,16,16,18,12,12,2,10,2,1,1,2,0,2,2,2,0,0,0,2,2,2,1
48,2,53,1,1,1,3,5,3,0,18,14,97,17,0,13,7,-1,2,2,1,0,0,2,1,1,1,1,0,0,0,0,0
49,1,75,1,3,2,1,1,1,0,17,15,19,97,0,12,5,-1,2,2,0,0,0,2,1,1,2,2,0,3,1,2,1
50,2,67,1,3,2,2,2,2,0,16,18,97,97,0,12,5,-1,2,2,0,0,2,2,1,1,1,1,2,3,8,1,2
51,1,22,1,5,2,0,4,4,0,14,12,16,97,13,98,1,0.75,2,1,0,2,1,2,3,2,0,0,2,0,0,0,0
52,2,42,1,4,2,3,4,2,0,12,6,3,97,12,12,1,5,2,2,0,2,2,3,1,1,1,1,2,1,1,2,1
53,2,59,1,3,1,2,2,1,0,18,17,18,97,12,12,1,5,2,2,0,2,0,2,2,2,0,0,0,8,8,2,1
54,2,33,3,1,1,1,3,2,1,18,16,16,18,12,12,6,-1,2,2,1,0,2,1,3,3,0,0,2,0,0,0,0
55,1,46,1,1,2,2,2,2,0,16,17,17,16,13,13,1,10,2,2,2,1,0,2,1,1,1,2,0,0,0,0,0
56,1,55,1,3,1,1,2,2,0,14,7,7,97,12,12,1,25,1,2,0,2,3,2,1,1,1,2,2,0,0,0,0
57,2,43,1,1,3,2,4,2,0,16,8,8,16,0,12,7,-1,2,2,1,0,0,2,1,1,1,1,0,4,1,2,1
58,2,45,2,5,10,2,2,2,0,14,12,12,97,8,8,4,-1,2,2,0,0,2,3,1,1,9,9,2,1,1,8,1
59,1,23,1,5,3,0,4,4,0,11,98,98,97,12,12,1,0.25,2,2,0,2,3,2,3,2,0,0,2,0,0,0,0
60,2,28,2,4,5,2,3,1,1,9,12,97,97,6,7,2,0.25,2,2,0,2,0,3,1,2,1,0,0,0,0,0,0
61,2,27,2,1,10,1,3,2,1,13,12,12,14,3,5,7,-1,2,1,2,0,3,2,2,2,0,0,2,1,1,2,1
62,2,42,2,1,4,3,3,2,0,10,11,98,12,11,12,2,3,2,2,2,3,0,3,1,1,1,1,0,1,1,2,2
63,2,41,2,5,2,0,1,1,0,16,12,12,97,12,12,1,19,2,2,0,2,2,2,1,1,1,1,2,1,1,2,1
64,2,64,2,2,8,1,1,1,0,13,8,8,97,0,12,5,-1,2,2,0,0,1,2,1,1,1,1,2,1,1,1,1
65,1,53,2,5,7,4,1,1,0,12,12,12,97,0,98,5,-1,9,2,0,0,0,2,9,8,9,0,0,0,0,0,0
66,1,79,2,3,6,4,1,1,0,20,8,6,97,0,11,5,-1,1,1,0,0,1,3,1,1,1,1,2,1,1,2,2
67,1,34,1,1,8,3,1,1,0,14,16,97,16,12,12,1,1,1,2,7,2,3,2,2,2,0,0,2,4,4,1,2
68,2,59,2,4,3,3,2,2,0,14,12,97,97,0,12,5,-1,1,2,0,0,2,1,1,1,1,1,2,0,0,0,0
69,2,32,2,5,1,0,1,1,0,19,16,16,97,12,12,1,1,2,2,0,2,1,2,1,1,1,1,2,1,1,2,1
70,2,33,2,1,1,3,5,2,1,16,12,97,11,0,10,7,-1,1,2,2,0,0,1,1,2,1,0,0,1,1,2,2
71,1,35,1,5,5,0,1,1,0,15,14,97,97,0,8,7,-1,0,0,0,0,0,2,1,1,1,1,0,0,0,0,0
72,1,37,2,1,1,0,2,2,0,16,20,20,18,12,12,1,4,2,2,1,2,0,2,1,3,1,0,0,0,0,0,0
73,2,28,3,1,2,0,2,2,0,16,14,97,16,0,12,7,-1,2,2,1,0,2,1,3,3,0,0,2,4,4,1,1
74,2,42,1,1,2,2,1,1,0,20,16,12,16,12,13,1,0.25,2,2,1,2,2,2,1,1,1,1,2,0,0,0,0
75,1,21,1,5,3,0,4,3,0,14,14,18,97,7,12,1,0.75,2,2,0,2,3,2,3,2,0,0,2,0,0,0,0
76,2,33,2,5,2,2,11,5,2,14,98,97,97,12,13,1,7,2,2,0,2,1,1,1,1,2,1,2,8,8,2,2
77,2,37,1,1,3,2,4,2,1,16,12,14,16,12,13,1,2,2,2,1,1,1,1,1,2,2,0,2,0,0,0,0
78,2,89,1,2,10,3,3,3,0,8,98,98,97,0,12,7,-1,1,2,0,0,0,2,1,9,9,9,0,0,0,0,0
79,2,47,3,1,6,1,2,2,0,14,97,12,18,0,13,7,-1,2,2,1,0,2,2,9,9,9,9,3,0,0,0,0
80,2,63,3,1,2,9,2,2,0,99,99,99,99,13,13,9,99,9,9,9,9,0,1,9,9,9,9,0,0,0,0,0
81,2,71,2,1,10,0,2,2,0,16,8,8,12,0,12,5,-1,2,2,5,0,2,2,1,1,1,1,2,8,8,2,1
82,2,42,2,1,1,1,2,2,0,12,12,14,12,13,12,1,10,2,2,1,1,2,2,1,1,1,1,2,1,1,2,1
83,2,37,3,3,7,1,2,2,0,12,5,97,97,10,12,1,0.25,2,2,0,1,0,1,2,2,0,0,0,2,2,1,1
84,2,40,1,1,1,4,3,3,0,13,12,14,11,12,12,1,5,2,2,1,1,1,1,1,1,1,1,2,2,1,2,1
85,1,70,1,4,5,4,2,2,0,12,6,97,97,11,12,2,9,2,2,0,1,2,2,1,1,1,1,1,0,0,0,0
86,1,28,2,5,2,0,2,2,0,17,12,0,97,12,12,1,2,1,2,0,2,0,2,2,1,0,1,0,2,2,2,2
87,2,53,3,5,6,2,2,2,0,13,6,0,97,1,12,1,12,2,2,0,3,0,2,1,1,1,1,0,0,0,0,0
88,1,46,1,1,0,2,4,2,0,16,14,97,19,13,13,3,2,2,2,1,1,2,2,1,1,1,1,2,0,0,0,0
89,1,55,1,1,2,0,2,2,0,18,16,18,16,12,12,1,12,1,2,1,1,0,2,1,1,1,1,0,0,0,0,0
90,1,28,3,5,2,0,1,1,0,18,16,17,97,8,8,1,4,2,1,0,3,0,2,1,1,1,3,0,1,1,2,1
91,1,42,1,5,2,0,1,1,0,16,16,16,97,12,12,3,7,1,2,0,4,0,2,1,1,1,1,0,0,0,0,0
92,2,77,1,1,1,0,1,1,0,19,9,14,20,10,12,2,43,8,1,2,2,1,3,1,1,1,1,2,4,2,2,8
93,1,29,3,5,2,0,2,2,0,16,16,16,97,13,13,2,0.25,2,2,0,2,0,1,8,2,0,0,0,0,0,0,0
94,2,62,2,2,6,1,3,3,0,12,98,98,97,0,13,7,-1,2,2,0,0,0,3,1,2,1,0,0,1,1,8,8
95,2,30,2,5,2,2,1,1,0,16,12,97,97,12,12,1,7,2,2,0,2,3,2,1,1,1,1,1,1,1,2,1
96,1,22,2,5,2,0,3,3,0,14,14,10,97,13,13,2,0.25,2,2,0,2,3,2,3,2,0,0,8,0,0,0,0
97,2,69,2,1,4,1,2,2,0,13,10,11,13,0,12,5,-1,1,2,5,0,2,2,1,1,1,1,2,0,0,0,0
98,1,45,2,4,2,0,1,1,0,16,20,16,97,12,12,3,3,1,2,0,2,2,1,1,1,1,1,2,1,1,2,1
99,2,32,3,1,6,1,3,3,0,12,5,14,16,0,13,7,-1,0,0,1,0,1,2,1,1,1,1,2,0,0,0,0
100,2,60,1,2,1,1,1,1,0,4,98,98,97,98,8,7,-1,2,2,0,0,2,1,2,2,0,0,2,0,0,0,0
101,1,48,3,3,1,1,1,1,0,12,98,98,97,12,12,1,2,2,2,0,2,3,3,1,1,2,2,2,3,3,2,2
102,2,81,3,3,4,1,2,2,0,12,5,6,97,0,2,5,-1,1,2,0,0,4,3,1,2,1,0,2,4,4,1,1
103,1,50,3,1,1,0,2,2,0,18,12,12,18,12,13,1,7,2,2,1,3,1,2,1,1,1,1,2,0,0,0,0
104,2,78,1,1,1,2,2,2,0,14,98,8,10,0,12,5,-1,2,2,5,0,3,1,1,1,2,2,2,0,0,0,0
105,1,56,1,5,1,0,1,1,0,18,11,10,97,12,12,3,6,2,2,0,3,0,2,1,1,1,1,0,0,0,0,0
106,1,60,1,5,4,0,1,1,0,14,9,12,97,12,12,1,14,2,2,0,2,2,2,1,1,2,2,2,1,1,2,2
107,1,23,1,5,1,0,4,4,0,12,15,14,97,12,12,1,2,2,2,0,1,0,2,3,1,0,2,0,0,0,0,0
108,2,67,1,5,3,0,1,1,0,12,98,98,97,13,13,3,16,2,2,0,2,0,2,2,2,0,0,0,0,0,0,0
109,2,54,1,1,3,5,2,2,0,16,12,14,12,0,13,2,0.25,2,2,1,1,2,1,1,2,1,0,2,0,0,0,0
110,2,62,1,1,3,2,2,2,0,14,13,14,16,0,12,7,-1,2,2,1,0,0,3,1,1,1,1,0,0,0,0,0
